Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc
735|2022-05-14 07:07:53,652557|0,46842143700039396|-14,945015393701242|44,54|20,64|11,81|5,25|-9,36|323,284|49,613|336,289|0,019|0,041|0,027
736|2022-05-14 07:08:04,163557|-0,06771074316962848|-14,567617188404434|44,73|17,88|11,97|5,5|-9,98|323,748|47,737|335,395|0,016|0,041|0,026
737|2022-05-14 07:08:14,687513|-0,6043975168114366|-14,189818167377199|44,4|19,93|12,08|5,58|-10,26|325,284|47,344|334,413|0,014|0,041|0,026
738|2022-05-14 07:08:25,197706|-1,1403703166255776|-13,812417029838254|44,47|20,31|12,21|5,6|-10,72|326,239|46,407|333,89|0,021|0,04|0,027
739|2022-05-14 07:08:35,718289|-1,6767901501789408|-13,43450184488905|44,91|20,33|12,1|5,82|-11,08|326,133|46,331|333,807|0,015|0,041|0,028
740|2022-05-14 07:08:46,230194|-2,2126540931902765|-13,056684695111237|44,22|21,06|12,23|5,99|-11,41|326,576|45,812|333,488|0,019|0,04|0,027
741|2022-05-14 07:08:56,743696|-2,748455536060367|-12,678523427525898|44,34|20,84|12,2|6,18|-11,4|327,717|46,842|331,469|0,015|0,042|0,026
742|2022-05-14 07:09:07,243833|-3,2834375758684433|-12,300458314579735|44,18|20,9|12,36|6,41|-11,15|328,409|49,219|328,379|0,019|0,04|0,026
743|2022-05-14 07:09:17,759524|-3,818958735873003|-11,921434219748841|44,66|20,95|12,48|6,81|-11,79|328,802|49,406|326,5|0,016|0,041|0,026
744|2022-05-14 07:09:28,267809|-4,353875287639907|-11,542164825300153|44,17|21,87|12,62|6,62|-12,32|329,829|48,145|325,778|0,02|0,042|0,027
745|2022-05-14 07:09:38,789926|-4,889181000603368|-11,161849219486491|44,68|21,73|12,9|7,0|-12,54|330,148|48,597|324,588|0,015|0,04|0,025
746|2022-05-14 07:09:49,288160|-5,423030679634182|-10,78170357053246|43,92|21,66|12,89|7,0|-13,12|330,201|48,311|323,426|0,013|0,042|0,026
747|2022-05-14 07:09:59,792355|-5,956850483327893|-10,400618137851337|44,17|21,04|12,92|7,08|-13,61|328,653|49,679|321,584|0,016|0,042|0,028
748|2022-05-14 07:10:10,301080|-6,490532601263962|-10,018571632549694|44,27|20,74|12,93|6,65|-14,16|328,462|50,784|318,879|0,019|0,04|0,026
749|2022-05-14 07:10:20,805646|-7,023614523011667|-9,635797718186176|43,92|20,69|13,04|7,06|-14,43|328,084|49,693|318,323|0,017|0,042|0,024
750|2022-05-14 07:10:31,307097|-7,556110967253605|-9,252189095602882|44,82|21,12|13,23|7,68|-14,68|328,437|47,846|318,985|0,012|0,041|0,027
751|2022-05-14 07:10:41,814287|-8,088455703450498|-8,867334101153599|44,25|20,97|13,38|8,1|-14,83|328,551|46,513|318,124|0,016|0,041|0,027
752|2022-05-14 07:10:52,321532|-8,620352971237102|-8,481345781328022|44,17|21,05|13,52|8,02|-15,44|328,289|47,219|316,98|0,019|0,042|0,027
753|2022-05-14 07:11:02,819159|-9,15115480624887|-8,094596485646564|43,99|21,58|13,44|8,12|-15,52|326,951|48,78|314,963|0,022|0,041|0,027
754|2022-05-14 07:11:13,319473|-9,681587964396414|-7,706457531018351|44,27|21,37|13,49|8,39|-15,81|327,476|49,079|314,728|0,017|0,041|0,025
755|2022-05-14 07:11:23,825135|-10,211715332699127|-7,3167788541140535|44,22|19,6|13,84|8,46|-16,58|327,83|50,459|314,168|0,014|0,043|0,026
756|2022-05-14 07:11:34,321450|-10,740745859486578|-6,926040210222545|44,88|21,1|13,78|8,9|-16,74|328,089|50,209|313,27|0,016|0,042|0,027
757|2022-05-14 07:11:44,816103|-11,26904592448356|-6,533870305834007|44,24|21,98|14,0|8,95|-16,7|328,681|49,332|311,5|0,018|0,041|0,026
758|2022-05-14 07:11:55,304434|-11,796345222043202|-6,14036745905419|44,82|20,97|14,17|8,75|-16,88|328,125|50,273|309,48|0,019|0,042|0,026
759|2022-05-14 07:12:05,813835|-12,323984658046921|-5,744420585367065|43,93|21,06|14,39|8,83|-17,15|328,333|50,219|308,373|0,018|0,041|0,026
760|2022-05-14 07:12:16,302193|-12,849812727931202|-5,347537218660797|44,2|20,86|14,43|8,87|-17,42|329,343|53,322|306,702|0,02|0,041|0,027
761|2022-05-14 07:12:26,795343|-13,375102251555509|-4,948653739914892|44,41|21,92|14,52|9,05|-17,57|328,274|53,544|306,328|0,018|0,041|0,026
762|2022-05-14 07:12:37,268993|-13,898584273011291|-4,548629688841526|44,24|21,43|14,85|9,4|-17,95|328,097|52,657|305,905|0,018|0,042|0,026
763|2022-05-14 07:12:47,758590|-14,422013298023561|-4,14601498371354|43,95|20,42|15,08|9,83|-17,82|329,105|52,629|305,986|0,016|0,041|0,025
764|2022-05-14 07:12:58,247723|-14,94452768789767|-3,7413543020979194|43,9|21,25|15,18|10,03|-17,68|328,71|51,205|305,289|0,018|0,041|0,026
765|2022-05-14 07:13:08,733917|-15,465965850576671|-3,3346604263120083|43,95|20,08|15,1|9,97|-17,78|328,088|51,331|305,008|0,02|0,041|0,027
766|2022-05-14 07:13:19,221388|-15,98649695333047|-2,925686867768251|44,72|21,46|15,23|10,0|-18,2|329,254|50,895|304,267|0,013|0,04|0,029
767|2022-05-14 07:13:29,702449|-16,5057080352226|-2,51464351968206|44,45|20,97|15,54|10,09|-18,43|330,945|49,912|305,382|0,019|0,041|0,026
768|2022-05-14 07:13:40,180575|-17,023718120953713|-2,101322063694712|44,24|19,69|15,73|10,46|-18,68|331,653|49,471|305,754|0,022|0,039|0,028
769|2022-05-14 07:13:50,670953|-17,5413124614355|-1,6849708241690997|44,08|21,08|15,73|10,87|-18,49|331,924|49,124|305,079|0,02|0,041|0,028
770|2022-05-14 07:14:01,150655|-18,057164435574684|-1,266534439201989|44,2|20,96|15,77|11,03|-18,54|331,806|48,317|304,222|0,016|0,041|0,029
771|2022-05-14 07:14:11,623047|-18,571544290492746|-0,8456793967755819|44,25|20,89|15,81|11,02|-18,93|332,036|46,005|305,018|0,016|0,041|0,025
772|2022-05-14 07:14:22,107992|-19,08532527675651|-0,4215622264226116|44,7|20,49|16,08|11,18|-19,19|333,318|46,387|304,219|0,02|0,041|0,027
773|2022-05-14 07:14:32,594325|-19,597942905184674|0,005486720131814981|44,17|21,02|16,62|11,45|-18,99|333,297|45,076|304,052|0,016|0,042|0,026
774|2022-05-14 07:14:43,089313|-20,10968166007556|0,43584057345913535|43,95|20,7|16,79|11,61|-18,8|332,977|45,311|302,239|0,015|0,042|0,026
775|2022-05-14 07:14:53,567826|-20,619295211818592|0,8685790973826826|44,45|21,13|16,84|11,59|-19,07|332,869|42,715|301,778|0,015|0,041|0,027
776|2022-05-14 07:15:04,041020|-21,127264534604183|1,3042320828799234|44,2|18,84|16,9|11,63|-19,12|332,611|43,585|300,953|0,015|0,042|0,026
777|2022-05-14 07:15:14,519236|-21,634074481840983|1,7433520323130778|44,25|20,75|17,12|11,73|-18,98|333,218|42,282|301,707|0,021|0,04|0,025
778|2022-05-14 07:15:24,993259|-22,139213089310342|2,1856352261995307|44,09|20,46|16,89|11,94|-18,99|332,028|42,4|301,768|0,017|0,04|0,025
779|2022-05-14 07:15:35,482061|-22,643549293921012|2,631991458502528|44,4|21,59|16,94|11,97|-18,96|331,301|43,294|301,043|0,02|0,041|0,028
780|2022-05-14 07:15:45,985105|-23,14700829114003|3,0825196208195904|43,95|19,89|17,19|11,83|-19,11|331,558|44,066|300,498|0,02|0,04|0,026
781|2022-05-14 07:15:56,462568|-23,647629691026022|3,5356048761588283|44,29|20,31|16,43|12,05|-19,21|330,471|43,741|300,945|0,016|0,042|0,026
782|2022-05-14 07:16:06,940611|-24,14661611048556|3,992467257895521|44,04|19,03|16,92|12,21|-19,16|329,973|43,38|300,801|0,016|0,042|0,025
783|2022-05-14 07:16:17,409413|-24,643458953931837|4,452787026163299|44,2|20,19|17,27|12,61|-19,17|331,258|43,006|301,168|0,016|0,042|0,028
784|2022-05-14 07:16:27,905068|-25,13982364288355|4,918277196404881|44,33|20,45|17,41|12,92|-19,09|331,844|42,69|301,3|0,015|0,043|0,025
785|2022-05-14 07:16:38,383836|-25,633565335313865|5,38709329930348|44,75|19,32|17,73|12,87|-19,02|332,951|42,529|300,982|0,019|0,04|0,026
786|2022-05-14 07:16:48,862675|-26,12544741981706|5,860108070592625|43,97|20,73|17,98|12,76|-19,0|333,473|43,843|300,77|0,02|0,041|0,026
787|2022-05-14 07:16:59,341355|-26,61539853510905|6,337417934311121|43,93|21,83|18,07|12,6|-18,94|334,912|43,12|302,22|0,016|0,041|0,027
788|2022-05-14 07:17:09,820283|-27,103385134705707|6,819158680815325|44,17|19,9|18,12|12,74|-18,92|334,379|42,744|303,766|0,017|0,041|0,026
789|2022-05-14 07:17:20,291797|-27,588991346760793|7,305084784727219|44,17|19,33|18,04|12,92|-18,72|333,0|43,511|303,455|0,017|0,042|0,026
790|2022-05-14 07:17:30,775251|-28,07306503646395|7,796224360916373|44,7|19,54|17,97|13,01|-18,69|333,455|45,738|303,789|0,016|0,04|0,026
791|2022-05-14 07:17:41,248076|-28,55448584914618|8,291620614181024|44,18|21,92|18,28|12,81|-18,79|332,756|44,931|303,023|0,015|0,041|0,025
792|2022-05-14 07:17:51,724184|-29,03385466343334|8,792066903645292|43,88|21,92|18,22|12,95|-18,94|332,418|44,477|303,383|0,015|0,041|0,026
793|2022-05-14 07:18:02,176682|-29,50992415276444|9,296426866893151|44,11|21,2|18,04|13,12|-18,94|332,009|43,1|304,268|0,02|0,041|0,027
794|2022-05-14 07:18:12,663286|-29,98509020219735|9,807438299020712|44,24|19,98|18,17|13,08|-18,82|331,855|43,348|304,565|0,017|0,041|0,027
795|2022-05-14 07:18:23,167719|-30,458699909244114|10,324649256021019|44,52|21,62|18,27|13,19|-19,08|330,923|44,24|303,035|0,019|0,04|0,026
796|2022-05-14 07:18:33,664116|-30,92946874482446|10,846868585670565|44,17|21,26|18,11|13,14|-18,81|329,939|44,021|302,102|0,017|0,041|0,027
797|2022-05-14 07:18:44,134442|-31,396524551691456|11,373291547234931|44,77|20,96|18,04|12,98|-18,65|329,216|45,508|301,368|0,018|0,041|0,027
798|2022-05-14 07:18:54,603662|-31,860918129202076|11,905275826145584|44,22|21,05|18,14|12,76|-18,64|328,945|45,73|301,983|0,017|0,041|0,026
799|2022-05-14 07:19:05,083425|-32,32309464166866|12,443553417082438|43,9|21,28|18,17|12,67|-18,84|329,59|45,683|301,719|0,022|0,04|0,029
800|2022-05-14 07:19:15,566766|-32,78269234476016|12,987936888684116|43,85|21,59|18,09|12,74|-19,04|330,423|47,634|301,486|0,015|0,043|0,025
801|2022-05-14 07:19:26,055575|-33,239640244110554|13,538573220817291|44,18|20,93|18,19|12,78|-18,67|332,432|48,305|302,49|0,017|0,04|0,028
802|2022-05-14 07:19:36,522186|-33,69273166060078|14,094208540547799|44,63|19,45|18,27|12,61|-18,6|332,108|50,247|301,347|0,018|0,042|0,027
803|2022-05-14 07:19:47,018337|-34,14410768901187|14,657708623988139|43,97|22,66|18,35|12,68|-18,58|332,044|50,442|299,578|0,021|0,04|0,025
804|2022-05-14 07:19:57,504461|-34,591976581490975|15,227098661798415|43,88|20,91|18,36|12,83|-18,54|331,363|52,081|300,499|0,016|0,042|0,029
805|2022-05-14 07:20:07,992224|-35,036749746006905|15,803127906736938|44,52|21,56|18,41|12,95|-18,66|330,747|49,386|300,259|0,016|0,041|0,028
806|2022-05-14 07:20:18,478691|-35,47822013175856|16,385771897263247|44,17|20,98|18,43|13,1|-18,11|332,487|48,492|300,542|0,021|0,041|0,027
807|2022-05-14 07:20:28,958229|-35,91610629614728|16,97489561047468|44,25|20,83|18,15|12,75|-18,33|333,733|47,208|301,56|0,017|0,041|0,025
808|2022-05-14 07:20:39,442839|-36,350722710822915|17,571171121415794|44,27|20,88|18,18|12,47|-18,66|333,102|46,903|301,201|0,02|0,04|0,025
809|2022-05-14 07:20:49,939643|-36,78235665753171|18,17527860827296|43,97|20,61|17,85|12,68|-18,84|332,345|47,554|300,777|0,016|0,041|0,027
810|2022-05-14 07:21:00,423820|-37,2099036028193|18,785937667588012|44,81|20,92|17,67|12,78|-19,09|331,169|49,893|300,845|0,016|0,042|0,026
811|2022-05-14 07:21:10,898218|-37,63328994563175|19,40327003920514|43,9|20,88|17,52|12,93|-19,42|330,734|48,367|300,623|0,017|0,041|0,029
812|2022-05-14 07:21:21,373367|-38,05295885410474|20,02817690706538|44,13|21,02|17,35|12,7|-19,27|330,151|47,225|300,622|0,015|0,04|0,028
813|2022-05-14 07:21:31,858977|-38,469146221235405|20,661310421101703|43,9|19,91|17,19|12,59|-19,44|331,53|47,025|301,099|0,019|0,041|0,025
814|2022-05-14 07:21:42,340039|-38,881196978760464|21,301970536224395|44,68|20,76|17,01|12,68|-19,56|331,357|46,552|300,61|0,013|0,04|0,026
815|2022-05-14 07:21:52,827466|-39,28933592003507|21,95079811502309|44,09|21,08|17,03|12,71|-19,41|331,323|46,806|299,293|0,02|0,041|0,025
816|2022-05-14 07:22:03,320099|-39,69349929339626|22,608008588423996|44,13|21,28|16,93|12,76|-19,09|331,833|48,276|299,361|0,022|0,042|0,029
817|2022-05-14 07:22:13,806808|-40,09315234568966|23,27303410068612|44,08|20,71|16,82|12,65|-19,01|330,388|48,704|298,448|0,015|0,041|0,025
818|2022-05-14 07:22:24,292742|-40,488299126721316|23,94617019555715|43,81|20,9|16,64|12,62|-19,24|330,668|47,827|297,216|0,019|0,041|0,026
819|2022-05-14 07:22:34,779711|-40,878970457788405|24,627777823741894|44,13|20,91|16,63|12,46|-19,03|329,579|47,393|297,169|0,018|0,041|0,027
820|2022-05-14 07:22:45,259243|-41,264720567840904|25,317380177548102|44,18|21,85|16,39|12,14|-19,46|328,837|47,419|297,283|0,02|0,041|0,026
821|2022-05-14 07:22:55,735591|-41,64561359097437|26,01538680438435|43,83|20,75|16,19|12,25|-19,59|328,659|44,184|297,959|0,016|0,041|0,027
822|2022-05-14 07:23:06,214402|-42,021713462447224|26,722237987167542|44,13|20,8|16,12|12,19|-19,83|327,566|43,31|298,779|0,018|0,041|0,027
823|2022-05-14 07:23:16,687273|-42,392603781958194|27,437470260639937|43,93|21,11|16,05|12,03|-20,18|326,948|43,889|298,318|0,018|0,042|0,027
824|2022-05-14 07:23:27,162850|-42,75848476152643|28,161795217631852|44,09|18,25|16,04|11,93|-20,7|326,058|45,018|296,818|0,02|0,041|0,026
825|2022-05-14 07:23:37,632058|-43,11890625409171|28,894650238802612|43,95|20,64|16,0|11,87|-20,56|325,44|45,09|297,783|0,021|0,04|0,025
826|2022-05-14 07:23:48,101381|-43,47397217255024|29,636571147020803|44,09|21,02|15,91|11,99|-20,83|323,852|43,76|298,672|0,021|0,041|0,026
827|2022-05-14 07:23:58,580115|-43,82386652263177|30,3883175798124|44,75|21,17|15,83|11,93|-21,08|323,355|43,088|299,056|0,017|0,042|0,027
828|2022-05-14 07:24:09,058404|-44,168120658869874|31,149261660494542|43,85|19,68|15,71|11,84|-21,06|322,553|42,933|297,242|0,014|0,041|0,026
829|2022-05-14 07:24:19,531039|-44,506439551833694|31,919088296049956|44,11|20,64|15,63|11,74|-20,97|322,59|42,041|297,547|0,014|0,042|0,026
830|2022-05-14 07:24:30,007640|-44,8390007865726|32,69855622344304|44,56|21,01|15,3|11,63|-20,66|322,594|42,299|297,19|0,02|0,041|0,027
831|2022-05-14 07:24:40,510843|-45,16636340340418|33,489442659851726|43,83|23,14|15,16|11,52|-21,15|321,752|43,473|296,723|0,019|0,041|0,025
832|2022-05-14 07:24:51,008658|-45,48737251595955|34,289399722760336|44,47|21,15|15,19|11,29|-21,25|321,036|44,484|296,119|0,02|0,041|0,024
833|2022-05-14 07:25:01,476521|-45,801167843330234|35,09652825435849|44,15|20,6|14,88|11,06|-21,55|320,732|44,703|296,364|0,02|0,04|0,029
834|2022-05-14 07:25:11,928608|-46,10808581302466|35,91189752340409|44,04|20,87|14,75|10,97|-21,69|318,943|42,571|296,223|0,015|0,041|0,027
835|2022-05-14 07:25:22,390607|-46,40875458310988|36,73753047120216|44,54|20,99|14,9|10,94|-21,76|318,494|43,113|296,653|0,02|0,041|0,027
836|2022-05-14 07:25:32,849472|-46,70263191771178|37,572341722201145|44,5|19,98|15,02|11,01|-22,31|318,962|42,448|297,39|0,02|0,042|0,025
837|2022-05-14 07:25:43,322516|-46,99007388241741|38,41776786056851|44,04|20,69|14,87|10,79|-22,62|318,919|40,948|296,583|0,019|0,041|0,028
838|2022-05-14 07:25:53,784918|-47,27024155028721|39,27173903189013|44,04|20,67|14,71|10,73|-23,12|317,631|40,303|296,334|0,015|0,041|0,028
839|2022-05-14 07:26:04,253143|-47,5434588606671|40,13560702817962|43,83|21,6|14,38|10,79|-23,39|318,634|41,072|296,452|0,015|0,042|0,029
840|2022-05-14 07:26:14,782379|-47,81090916776335|41,01380562000328|44,2|18,49|14,17|10,9|-23,34|319,428|40,502|297,09|0,017|0,041|0,024
841|2022-05-14 07:26:25,276885|-48,07003839218331|41,898460385621526|44,4|20,74|14,12|10,57|-23,98|319,855|41,392|296,38|0,016|0,042|0,025
842|2022-05-14 07:26:35,764970|-48,321439446145106|42,79178555444777|43,81|19,99|14,04|10,47|-24,0|319,946|41,058|297,013|0,02|0,041|0,026
843|2022-05-14 07:26:46,241059|-48,56484831956746|43,693137468549665|43,83|20,44|13,88|10,41|-24,04|320,269|39,185|296,762|0,012|0,041|0,028
844|2022-05-14 07:26:56,708479|-48,80024579451054|44,60272468132413|43,9|20,96|13,88|10,34|-24,45|321,122|41,023|297,328|0,015|0,04|0,025
845|2022-05-14 07:27:07,196866|-49,02811903200135|45,52288812683308|44,33|20,84|13,83|10,2|-24,74|321,54|41,313|296,597|0,02|0,039|0,026
846|2022-05-14 07:27:17,662555|-49,24738654965595|46,44963095715781|43,93|21,82|13,83|10,21|-24,87|322,106|42,506|295,484|0,015|0,042|0,024
847|2022-05-14 07:27:28,146759|-49,45880727586544|47,38652198895171|44,43|21,58|13,84|10,24|-25,54|322,44|43,536|294,057|0,017|0,042|0,025
848|2022-05-14 07:27:38,701021|-49,66317528572654|48,33804783522494|44,24|22,25|13,75|10,41|-25,88|322,12|43,249|293,334|0,017|0,041|0,026
849|2022-05-14 07:27:52,351641|-49,914682643019496|49,58080014813617|43,88|20,81|13,41|10,25|-26,17|321,462|39,237|295,826|0,015|0,042|0,028
850|2022-05-14 07:28:02,826741|-50,097718887440266|50,54338098280315|43,92|21,14|13,43|10,19|-26,74|320,489|40,404|294,946|0,017|0,042|0,027
851|2022-05-14 07:28:13,287570|-50,27174419407049|51,512139754413774|44,66|20,87|13,39|10,51|-26,74|320,397|41,536|294,005|0,015|0,042|0,026
852|2022-05-14 07:28:23,759496|-50,43707837959892|52,48921892278008|44,02|20,32|13,31|10,15|-27,23|322,42|41,805|295,33|0,014|0,041|0,03
853|2022-05-14 07:28:34,211649|-50,59310538223156|53,47128034687522|44,01|19,18|13,17|9,86|-27,77|322,643|41,259|295,168|0,018|0,041|0,027
854|2022-05-14 07:28:44,679363|-50,740247545308165|54,461300963730686|44,52|21,49|13,13|9,75|-27,91|322,95|40,359|296,686|0,018|0,041|0,028
855|2022-05-14 07:28:55,142431|-50,87813113626556|55,457242284448|43,79|19,3|13,06|9,61|-28,47|323,481|41,097|294,825|0,015|0,041|0,024
856|2022-05-14 07:29:05,621954|-51,00690291675154|56,460664466319066|43,95|19,98|13,02|9,53|-28,76|324,014|39,83|295,628|0,019|0,042|0,027
857|2022-05-14 07:29:16,107303|-51,12631601094648|57,47026335328252|43,79|20,29|13,01|9,29|-28,96|324,27|40,517|295,518|0,015|0,041|0,026
858|2022-05-14 07:29:26,588190|-51,23615542371627|58,484602761254415|44,01|20,65|12,94|9,09|-29,59|323,768|40,328|295,345|0,018|0,043|0,025
859|2022-05-14 07:29:37,046920|-51,336205873148714|59,50171268610785|44,13|21,13|13,03|8,96|-29,91|323,989|42,028|293,85|0,012|0,04|0,026
860|2022-05-14 07:29:47,510843|-51,426650846704845|60,52356301410254|43,93|20,83|12,96|8,84|-30,49|324,662|43,224|294,25|0,02|0,041|0,025
861|2022-05-14 07:29:58,003320|-51,50759799336499|61,55226216645438|44,17|20,54|13,19|8,69|-30,86|324,919|41,57|295,063|0,023|0,041|0,024
862|2022-05-14 07:30:08,500415|-51,578746413110224|62,584959374141285|43,93|20,49|13,47|8,54|-31,37|324,049|41,137|294,582|0,021|0,041|0,025
863|2022-05-14 07:30:18,993411|-51,63998425043981|63,620398202415295|44,11|21,37|13,53|8,46|-31,14|323,957|41,166|293,141|0,018|0,041|0,03
864|2022-05-14 07:30:29,474885|-51,69123965193996|64,65733658951225|44,09|20,77|13,59|8,51|-31,68|324,412|39,916|292,508|0,022|0,041|0,027
865|2022-05-14 07:30:39,965524|-51,73258221059179|65,6974891927605|43,86|20,37|13,68|8,59|-31,98|323,977|40,711|293,341|0,021|0,041|0,024
866|2022-05-14 07:30:50,429304|-51,76385443591642|66,7366046464436|44,29|19,98|13,61|8,42|-32,4|323,23|41,008|295,199|0,017|0,041|0,027
867|2022-05-14 07:31:00,906475|-51,785174623786595|67,77823719082446|43,88|20,82|13,57|8,43|-32,62|322,274|41,273|294,791|0,021|0,038|0,029
868|2022-05-14 07:31:11,392571|-51,79648776464783|68,8216193132072|44,13|21,14|13,57|8,62|-33,15|322,054|39,309|295,044|0,015|0,041|0,026
869|2022-05-14 07:31:21,865952|-51,797765014587384|69,86401933581774|44,57|21,76|13,63|8,47|-34,07|322,075|40,151|293,596|0,016|0,042|0,03
870|2022-05-14 07:31:32,340790|-51,789022411341975|70,90647021126237|44,57|21,29|13,84|8,16|-34,59|321,445|41,848|291,727|0,02|0,041|0,03
871|2022-05-14 07:31:42,821311|-51,7702561317855|71,94867328117662|44,52|20,68|14,04|8,07|-35,02|321,85|38,617|294,249|0,018|0,04|0,025
872|2022-05-14 07:31:53,282350|-51,74154261986359|72,98788744523492|44,08|22,07|14,07|8,18|-35,23|322,275|39,502|293,843|0,021|0,04|0,027
873|2022-05-14 07:32:03,759577|-51,70281393937349|74,02706602961293|44,72|20,87|14,19|7,96|-35,43|322,169|41,405|292,396|0,017|0,041|0,025
874|2022-05-14 07:32:14,229318|-51,65417423292298|75,06343726884775|44,06|19,79|14,38|7,93|-35,75|323,043|40,671|291,803|0,016|0,042|0,026
875|2022-05-14 07:32:24,703432|-51,59561196644588|76,09769226627897|43,81|20,84|14,33|7,77|-36,27|322,359|39,347|292,341|0,018|0,042|0,027
876|2022-05-14 07:32:35,175787|-51,52719902082694|77,1288355297777|44,08|20,21|14,53|7,84|-36,65|322,415|39,405|291,444|0,014|0,041|0,028
877|2022-05-14 07:32:45,646924|-51,448995135687696|78,15638168788954|44,01|20,58|14,66|8,01|-37,01|323,691|39,741|290,941|0,016|0,041|0,026
878|2022-05-14 07:32:56,133645|-51,3609118293668|79,18158414246356|43,88|22,6|14,84|8,02|-37,57|324,596|39,838|292,336|0,02|0,041|0,027
879|2022-05-14 07:33:06,612456|-51,26320028215096|80,20174260439813|44,09|20,37|15,14|7,82|-37,58|324,084|41,639|291,582|0,016|0,041|0,025
880|2022-05-14 07:33:17,071967|-51,15609049160396|81,21523509437012|44,73|20,63|15,57|7,43|-37,82|324,683|43,782|290,778|0,018|0,041|0,029
881|2022-05-14 07:33:27,550998|-51,03925028106761|82,2255696165019|44,13|20,92|15,64|7,06|-38,31|325,479|42,387|291,306|0,014|0,042|0,027
882|2022-05-14 07:33:38,041384|-50,91282109520415|83,23149636859218|43,77|20,85|15,78|7,02|-38,77|325,317|43,185|291,199|0,019|0,04|0,027
883|2022-05-14 07:33:48,524964|-50,77710576976598|84,2309212269683|44,02|20,87|15,85|7,09|-39,1|324,951|41,803|293,403|0,016|0,042|0,026
884|2022-05-14 07:33:58,996550|-50,63229497193709|85,22300962232993|44,45|21,14|16,01|7,21|-39,23|325,121|41,695|295,37|0,017|0,041|0,027
885|2022-05-14 07:34:09,457715|-50,47849626975056|86,20761645367853|44,09|21,34|16,44|7,2|-39,27|324,774|40,187|296,774|0,016|0,041|0,028
886|2022-05-14 07:34:19,952237|-50,31516382023829|87,18840540953371|44,59|21,08|16,87|7,24|-39,51|325,377|40,135|297,627|0,018|0,041|0,027
887|2022-05-14 07:34:30,411649|-50,14345384291397|88,15882978451994|44,43|20,95|16,81|7,31|-40,04|325,809|40,248|296,851|0,02|0,041|0,026
888|2022-05-14 07:34:40,873969|-49,96288993954957|89,12221311729003|44,02|20,26|17,11|7,41|-40,45|326,987|40,715|296,832|0,017|0,042|0,028
889|2022-05-14 07:34:51,326963|-49,7738595043782|90,07692364284284|43,81|21,01|17,52|7,47|-41,05|325,963|41,354|295,955|0,02|0,039|0,028
890|2022-05-14 07:35:01,777568|-49,576268885144515|91,02388555012014|43,83|20,55|17,82|7,41|-41,45|327,267|41,311|296,033|0,02|0,041|0,027
891|2022-05-14 07:35:12,181784|-49,37132486598682|91,95804944901258|44,54|21,59|17,94|7,43|-41,74|327,269|42,82|296,184|0,019|0,041|0,026
892|2022-05-14 07:35:22,639636|-49,157004126945765|92,88899271097118|44,29|21,75|18,2|7,22|-41,99|327,091|45,333|295,46|0,015|0,041|0,025
893|2022-05-14 07:35:33,126115|-48,93390642791225|93,81395493225556|44,08|21,05|18,54|7,09|-42,05|326,448|44,312|297,082|0,019|0,04|0,026
894|2022-05-14 07:35:43,618908|-48,70259197276969|94,73078647505709|44,47|23,74|19,02|6,89|-42,48|326,258|43,91|296,297|0,02|0,042|0,027
895|2022-05-14 07:35:54,056069|-48,46465615676121|95,63384101181855|43,97|20,65|19,35|7,02|-42,63|326,409|44,374|295,715|0,022|0,041|0,025
896|2022-05-14 07:36:04,549355|-48,2176513477668|96,53279841210468|44,57|20,88|19,64|7,17|-42,54|326,618|44,811|295,519|0,02|0,041|0,026
897|2022-05-14 07:36:15,026473|-47,96337993432269|97,4212713372329|43,77|20,64|20,07|7,19|-42,86|327,644|44,234|296,377|0,019|0,041|0,028
898|2022-05-14 07:36:25,518570|-47,70124126863257|98,30175550794897|44,56|20,84|20,22|7,33|-43,16|326,552|45,377|295,727|0,017|0,042|0,026
899|2022-05-14 07:36:35,982673|-47,43243972958799|99,17065635600879|43,9|20,93|20,57|7,47|-43,24|325,838|44,814|296,56|0,016|0,041|0,028
900|2022-05-14 07:36:46,453119|-47,15626723644451|100,03074842233724|43,86|21,6|20,91|7,11|-43,31|325,471|43,144|298,942|0,019|0,041|0,028
901|2022-05-14 07:36:56,924832|-46,87300148410937|100,8815180454811|44,06|20,12|21,32|7,11|-43,74|326,016|43,029|299,353|0,016|0,041|0,028
902|2022-05-14 07:37:07,409652|-46,582451683132|101,7238625388354|44,06|21,13|21,81|7,14|-43,84|325,911|43,425|299,526|0,015|0,041|0,026
903|2022-05-14 07:37:17,890628|-46,285233020064226|102,55634700020872|44,31|20,39|22,24|7,05|-43,92|326,721|42,796|298,697|0,016|0,042|0,028
904|2022-05-14 07:37:28,369233|-45,98140062146395|103,37922256496769|43,83|22,91|22,78|7,22|-43,95|327,403|44,234|298,693|0,022|0,042|0,028
905|2022-05-14 07:37:38,839386|-45,67131058878853|104,19194185163825|44,09|21,41|22,97|7,37|-44,1|327,199|45,774|299,19|0,02|0,041|0,027
906|2022-05-14 07:37:49,332818|-45,35413903208915|104,99698379742587|44,7|21,27|23,08|7,26|-44,39|327,177|45,693|298,971|0,022|0,041|0,025
907|2022-05-14 07:37:59,811968|-45,03116537141521|105,79144122125975|44,11|21,23|23,43|7,12|-44,68|325,677|46,58|298,479|0,02|0,041|0,027
