Counter|Date/time|Latitude|Longitude|Temperature|Humidity|MagX|MagY|MagZ|MagMod|MagModDelta|MagModDeltaMean|Pitch|Roll|Yaw|X_Acc|Y_Acc|Z_Acc||MagMod Mean|40.35
186|14/5/22 5.31|10.93569245|1.142982159|44.36|19.71|12.98|0.6|-1.12|13.04|-0.07|-27.31|340.754|58.233|13.92|0.017|0.041|0.025|||
187|14/5/22 5.31|10.40367539|1.536700373|44.84|21.21|12.73|0.68|-1.89|12.89|-0.15|-27.47|341.864|58.434|12.321|0.021|0.042|0.027|||
188|14/5/22 5.31|9.870140895|1.929604578|44.43|20.63|12.8|0.61|-2.44|13.04|0.16|-27.31|342.416|59.527|10.974|0.021|0.041|0.027|||
189|14/5/22 5.32|9.3359577|2.321155342|44.36|20.23|12.81|0.62|-2.97|13.16|0.12|-27.19|341.962|58.862|8.795|0.014|0.042|0.029|||
190|14/5/22 5.32|8.801803738|2.710962804|44.38|21.96|12.61|0.6|-3.42|13.08|-0.09|-27.28|342.68|57.554|6.572|0.014|0.043|0.024|||
191|14/5/22 5.32|8.267705398|3.099116412|44.36|22.16|12.62|0.51|-3.88|13.21|0.13|-27.14|343.111|57.482|5.43|0.022|0.041|0.024|||
192|14/5/22 5.32|7.732463412|3.486589673|44.38|20.95|12.49|0.67|-4.59|13.32|0.11|-27.03|342.105|58.547|4.531|0.02|0.04|0.026|||
193|14/5/22 5.32|7.196970595|3.87283581|45.02|21.33|12.3|1.08|-5.1|13.36|0.04|-27.00|342.126|58.612|2.188|0.021|0.041|0.026|||
194|14/5/22 5.33|6.662629487|4.256950325|45.11|20.67|12.5|1.31|-5.73|13.81|0.45|-26.54|343.376|57.821|0.923|0.02|0.042|0.029|||
195|14/5/22 5.33|6.12686811|4.640883602|44.43|20.53|12.63|1.5|-6.1|14.11|0.29|-26.25|342.891|57.42|359.648|0.015|0.041|0.027|||
196|14/5/22 5.33|5.590017624|5.024491556|44.63|19.97|12.52|1.54|-6.64|14.26|0.15|-26.10|342.598|57.363|358.846|0.019|0.041|0.027|||
197|14/5/22 5.33|5.052750198|5.40739011|44.27|20.5|12.4|1.64|-7.3|14.48|0.23|-25.87|342.325|56.728|357.031|0.014|0.043|0.027|||
198|14/5/22 5.33|4.515779462|5.789170142|44.68|21.3|12.45|1.45|-7.32|14.52|0.03|-25.84|343.253|57.507|355.29|0.018|0.04|0.022|||
199|14/5/22 5.33|3.979004502|6.170003382|44.7|20.69|12.41|1.43|-7.69|14.67|0.15|-25.69|343.175|57.655|354.493|0.021|0.04|0.025|||
200|14/5/22 5.34|3.442451241|6.549970116|44.57|20.65|12.57|1.67|-8.33|15.17|0.50|-25.18|343.374|55.979|354.111|0.021|0.042|0.022|||
201|14/5/22 5.34|2.906214975|6.929100746|45.23|20.27|12.49|1.63|-8.9|15.42|0.25|-24.93|343.026|56.345|351.687|0.016|0.042|0.029|||
202|14/5/22 5.34|2.369687237|7.307921716|44.82|22.36|12.54|1.7|-9.23|15.66|0.24|-24.69|343.276|56.027|350|0.018|0.042|0.027|||
203|14/5/22 5.34|1.833655525|7.685972811|44.63|21.28|12.47|1.92|-9.9|16.04|0.37|-24.32|343.06|55.523|348.397|0.018|0.042|0.028|||
204|14/5/22 5.34|1.297187058|8.064007121|44.63|20.19|12.64|2.09|-10.57|16.61|0.57|-23.75|342.743|55.4|346.952|0.021|0.04|0.026|||
205|14/5/22 5.34|0.761031309|8.441591138|44.56|21.16|12.77|2.17|-10.9|16.93|0.32|-23.43|341.174|54.077|346.015|0.015|0.041|0.028|||
206|14/5/22 5.35|0.225043684|8.818921424|44.29|19.86|12.72|2.37|-11.18|17.10|0.17|-23.25|341.61|54.642|345.953|0.02|0.041|0.027|||
207|14/5/22 5.35|-0.310485403|9.195887856|44.93|19.62|12.7|2.38|-11.33|17.18|0.09|-23.17|340.705|55.57|343.767|0.018|0.042|0.025|||
208|14/5/22 5.35|-0.846492323|9.573243678|44.56|20.86|12.6|2.68|-11.83|17.49|0.30|-22.87|339.262|57.188|342.111|0.018|0.04|0.027|||
209|14/5/22 5.35|-1.381601162|9.950114101|44.52|22.75|12.78|2.77|-12.13|17.84|0.35|-22.52|339.033|56.16|341.725|0.02|0.042|0.027|||
210|14/5/22 5.35|-1.917507297|10.32778736|45.2|20.68|13.04|2.95|-12.92|18.59|0.76|-21.76|338.801|55.981|341.007|0.016|0.042|0.028|||
211|14/5/22 5.36|-2.452955662|10.70547362|45.14|21.04|13.1|3.63|-13.32|19.03|0.44|-21.32|339.445|54.613|341.656|0.018|0.041|0.025|||
212|14/5/22 5.36|-2.987434051|11.08290469|45.11|21.09|13.34|3.8|-13.51|19.36|0.33|-20.99|340.114|54.468|339.968|0.014|0.041|0.024|||
213|14/5/22 5.36|-3.522268964|11.4611114|44.24|20.37|13.26|3.97|-14|19.69|0.32|-20.67|340.223|53.656|339.399|0.014|0.041|0.027|||
214|14/5/22 5.36|-4.057177685|11.83998989|45.14|20.06|13.31|4.09|-14.6|20.18|0.49|-20.18|339.8|52.481|336.585|0.016|0.042|0.026|||
215|14/5/22 5.36|-4.590763582|12.21864444|45.05|21.32|13.31|4.25|-14.95|20.46|0.29|-19.89|340.838|52.449|335.408|0.019|0.041|0.026|||
216|14/5/22 5.36|-5.125127674|12.59866145|45.07|20.54|13.35|4.4|-15.17|20.68|0.22|-19.67|340.263|52.15|334.875|0.015|0.041|0.024|||
217|14/5/22 5.37|-5.658625434|12.97896833|44.31|19.28|13.64|4.59|-15.72|21.31|0.63|-19.04|340.31|52.982|334.156|0.015|0.042|0.027|||
218|14/5/22 5.37|-6.191863545|13.36009264|44.27|20.9|13.86|4.76|-15.87|21.60|0.29|-18.75|339.36|53.883|333.299|0.019|0.041|0.028|||
219|14/5/22 5.37|-6.724722246|13.74204579|44.59|21.48|14.01|4.85|-16.15|21.92|0.32|-18.43|340.273|53.554|332.154|0.021|0.041|0.025|||
220|14/5/22 5.37|-7.256809165|14.12464262|44.7|20.83|14.37|5.04|-16.28|22.29|0.37|-18.06|339.705|55.07|330.892|0.015|0.042|0.026|||
221|14/5/22 5.37|-7.788669875|14.50837281|44.65|18.21|14.49|5.3|-16.32|22.46|0.17|-17.90|339.907|53.48|331.244|0.014|0.042|0.028|||
222|14/5/22 5.37|-8.320172827|14.89324128|45.13|22.72|14.56|5.48|-16.88|22.96|0.50|-17.40|340.206|54.32|328.44|0.015|0.043|0.024|||
223|14/5/22 5.38|-8.850938021|15.27907172|44.59|20.05|14.42|5.59|-17.05|23.02|0.06|-17.34|339.589|51.845|328.804|0.021|0.042|0.029|||
224|14/5/22 5.38|-9.381322957|15.66622383|44.33|22.35|14.58|5.82|-17.1|23.21|0.19|-17.14|337.187|51.073|327.932|0.022|0.042|0.028|||
225|14/5/22 5.38|-9.911224809|16.0547247|45.07|19.28|14.69|5.92|-17.53|23.63|0.41|-16.73|338.01|49.591|329.103|0.016|0.041|0.027|||
226|14/5/22 5.38|-10.44000334|16.44420464|44.52|20.3|14.78|5.97|-17.6|23.75|0.12|-16.61|338.307|50.269|328.905|0.016|0.04|0.025|||
227|14/5/22 5.38|-10.96828682|16.8352272|44.91|20.94|15.04|6.35|-18.06|24.35|0.60|-16.01|337.957|51.358|328.484|0.02|0.04|0.029|||
228|14/5/22 5.38|-11.49629803|17.2280641|44.31|20.58|15.06|6.22|-18.57|24.70|0.36|-15.65|338.372|51.775|325.891|0.018|0.042|0.027|||
229|14/5/22 5.39|-12.02420841|17.62295391|44.29|21|15.27|6.22|-18.7|24.93|0.23|-15.42|337.586|51.016|325.62|0.022|0.041|0.028|||
230|14/5/22 5.39|-12.55086024|18.01913754|44.45|21.43|15.24|6.52|-18.93|25.16|0.23|-15.19|336.566|50.624|324.764|0.018|0.04|0.026|||
231|14/5/22 5.39|-13.07740757|18.41759187|45.16|20.93|15.3|6.82|-19.09|25.40|0.24|-14.96|336.489|50.959|325.077|0.016|0.041|0.027|||
232|14/5/22 5.39|-13.60304773|18.81782247|44.98|20.64|15.21|7.12|-18.93|25.31|-0.09|-15.05|335.588|51.351|322.821|0.014|0.042|0.026|||
233|14/5/22 5.39|-14.12833788|19.22036708|44.49|20.14|15.34|7.17|-18.75|25.26|-0.04|-15.09|335.399|51.558|322.813|0.019|0.041|0.025|||
234|14/5/22 5.40|-14.65105959|19.62362837|44.75|20.39|15.49|7.41|-18.8|25.46|0.20|-14.89|335.476|49.779|322.973|0.019|0.041|0.027|||
235|14/5/22 5.40|-15.17404979|20.02990426|44.49|20.63|15.45|7.31|-18.96|25.53|0.07|-14.83|334.89|50.345|321.139|0.021|0.04|0.028|||
236|14/5/22 5.40|-15.69609329|20.43837521|45.09|21.01|15.73|7.53|-18.99|25.78|0.26|-14.57|335.535|50.67|320.231|0.018|0.041|0.026|||
237|14/5/22 5.40|-16.21811739|20.84989202|44.61|20.5|15.54|7.78|-18.97|25.73|-0.06|-14.63|335.186|48.688|320.431|0.018|0.042|0.024|||
238|14/5/22 5.40|-16.737971|21.26287585|45.05|20.76|15.55|8.35|-19.65|26.41|0.69|-13.94|334.311|46.392|320.283|0.013|0.041|0.028|||
239|14/5/22 5.40|-17.25758088|21.67897482|44.38|20.83|15.63|8.72|-20|26.84|0.43|-13.52|332.301|47.958|318.82|0.019|0.041|0.028|||
240|14/5/22 5.41|-17.77521842|22.09692613|44.2|20.69|15.91|9.08|-19.75|26.94|0.10|-13.42|332.684|48.08|318.278|0.015|0.041|0.026|||
241|14/5/22 5.41|-18.29216431|22.51788362|45.05|19.27|15.73|9.09|-19.62|26.74|-0.20|-13.62|332.046|49.77|317.525|0.018|0.041|0.027|||
242|14/5/22 5.41|-18.8078726|22.94153277|44.66|20.47|15.93|9.19|-19.93|27.12|0.38|-13.24|332.89|49.609|316.79|0.017|0.04|0.025|||
243|14/5/22 5.41|-19.32333207|23.36882429|45.13|20.61|16.14|9.47|-19.75|27.21|0.09|-13.15|333.717|51.437|315.262|0.016|0.042|0.025|||
244|14/5/22 5.41|-19.83621874|23.79795823|44.84|20.86|15.85|9.68|-19.6|27.00|-0.21|-13.35|333.283|50.203|315.474|0.013|0.041|0.027|||
245|14/5/22 5.41|-20.34854287|24.2307427|44.25|21.44|16.1|9.74|-19.69|27.24|0.23|-13.12|334.335|50.443|315.848|0.017|0.042|0.025|||
246|14/5/22 5.42|-20.85885806|24.66609156|44.59|21.3|16.2|9.94|-20.09|27.66|0.42|-12.70|334.796|49.708|315.066|0.013|0.041|0.026|||
247|14/5/22 5.42|-21.36741628|25.10434373|45.11|20.66|16.2|10.1|-19.8|27.50|-0.15|-12.85|334.989|50.365|313.73|0.016|0.042|0.028|||
248|14/5/22 5.42|-21.87531651|25.54659121|44.33|20.59|16.02|10.49|-19.81|27.55|0.05|-12.80|335.702|51.242|312.52|0.02|0.041|0.026|||
249|14/5/22 5.42|-22.38072269|25.99137384|44.27|20.27|16.23|10.46|-19.82|27.67|0.12|-12.68|335.513|52.087|311.726|0.02|0.042|0.026|||
250|14/5/22 5.42|-22.88390688|26.4390509|44.34|21.61|16.31|10.47|-19.77|27.69|0.02|-12.67|335.27|51|311.084|0.018|0.042|0.027|||
251|14/5/22 5.43|-23.38654327|26.89126354|44.2|18.91|16.32|10.44|-20.18|27.97|0.29|-12.38|335.854|52.079|311.142|0.013|0.042|0.026|||
252|14/5/22 5.43|-23.88693274|27.34663847|45.11|20.6|16.26|10.48|-20.29|28.03|0.06|-12.32|335.764|52.615|309.665|0.022|0.04|0.027|||
253|14/5/22 5.43|-24.3861021|27.80626|45.14|21.08|16.17|10.72|-20.55|28.26|0.23|-12.09|336.119|52.417|309.314|0.018|0.041|0.027|||
254|14/5/22 5.43|-24.88355917|28.26983797|44.4|20.81|16.03|10.55|-20.54|28.11|-0.15|-12.25|336.587|53.928|308.298|0.02|0.04|0.028|||
255|14/5/22 5.43|-25.37890219|28.73715095|44.97|19.2|16.05|10.86|-20.7|28.36|0.25|-12.00|337.268|54.928|308.651|0.022|0.041|0.026|||
256|14/5/22 5.43|-25.87144866|29.20769323|44.52|21.16|15.97|10.94|-20.75|28.38|0.02|-11.98|338.109|56.011|308.422|0.023|0.041|0.027|||
257|14/5/22 5.44|-26.36278374|29.68313793|44.57|19.79|15.81|10.85|-20.9|28.36|-0.01|-11.99|337.737|55.03|308.158|0.014|0.042|0.025|||
258|14/5/22 5.44|-26.85244104|30.16321868|45.02|20.05|16|10.85|-20.87|28.45|0.08|-11.91|337.068|54.558|307.81|0.016|0.043|0.024|||
259|14/5/22 5.44|-27.3395347|30.64723182|44.22|20.85|15.91|10.71|-21.02|28.45|0.01|-11.90|338.208|54.226|308.093|0.018|0.041|0.027|||
260|14/5/22 5.44|-27.82469648|31.13597045|44.27|20.85|16.03|10.83|-21.25|28.74|0.28|-11.62|338.039|52.917|308.006|0.018|0.043|0.025|||
261|14/5/22 5.44|-28.30753362|31.6292146|45.16|20.59|15.92|10.99|-21.19|28.69|-0.04|-11.66|337.957|53.529|306.548|0.013|0.041|0.028|||
262|14/5/22 5.44|-28.78806581|32.12715804|44.5|20.4|15.63|11.11|-20.96|28.41|-0.28|-11.95|337.221|51.83|306.182|0.02|0.04|0.027|||
263|14/5/22 5.45|-29.26672531|32.63043881|44.41|20.71|15.34|11.31|-21.05|28.40|-0.01|-11.96|336.094|52.376|305.852|0.015|0.041|0.026|||
264|14/5/22 5.45|-29.74148738|33.13708719|44.54|20.61|15.05|11.13|-21.46|28.48|0.08|-11.88|335.841|50.922|306.039|0.013|0.043|0.027|||
265|14/5/22 5.45|-30.21466419|33.64974267|44.18|20.74|14.99|11.2|-21.48|28.49|0.01|-11.87|336.707|50.334|306.157|0.013|0.041|0.028|||
266|14/5/22 5.45|-30.68604482|34.1684073|44.41|19.21|15.09|11.5|-21.49|28.67|0.18|-11.69|337.68|50.903|305.897|0.02|0.042|0.027|||
267|14/5/22 5.45|-31.15431441|34.69183479|44.27|20.75|15.21|11.36|-21.33|28.55|-0.11|-11.80|337.949|51.433|306.275|0.02|0.041|0.027|||
268|14/5/22 5.45|-31.62041226|35.22127374|45.13|20.75|15.09|11.53|-21.75|28.87|0.32|-11.48|337.587|51.542|306.54|0.021|0.041|0.027|||
269|14/5/22 5.46|-32.08382019|35.75635359|44.57|20.61|14.88|11.48|-22.02|28.95|0.08|-11.41|337.751|51.85|306.048|0.014|0.043|0.025|||
270|14/5/22 5.46|-32.54505084|36.29789359|44.88|21.1|14.77|11.48|-21.85|28.76|-0.19|-11.59|338.457|52.527|307.759|0.022|0.041|0.025|||
271|14/5/22 5.46|-33.0033381|36.84522352|44.41|20.78|14.68|11.67|-21.76|28.73|-0.04|-11.63|340.165|53.094|307.638|0.016|0.042|0.026|||
272|14/5/22 5.46|-33.4581241|37.39787511|44.61|20.13|14.54|11.67|-22.12|28.93|0.20|-11.43|340.501|54.66|306.105|0.014|0.042|0.03|||
273|14/5/22 5.46|-33.91053776|37.95744498|45.09|20.1|14.15|11.66|-22.04|28.67|-0.26|-11.69|340.482|54.439|306.183|0.019|0.04|0.028|||
274|14/5/22 5.47|-34.36010653|38.52360503|44.38|20.62|13.94|11.83|-22.65|29.11|0.44|-11.25|340.309|53.442|305.951|0.016|0.041|0.025|||
275|14/5/22 5.47|-34.80641244|39.0960664|45.13|21.39|14.08|11.83|-22.83|29.32|0.21|-11.04|341.416|51.147|305.225|0.016|0.041|0.026|||
276|14/5/22 5.47|-35.2489975|39.67445827|44.25|19.42|13.95|11.8|-22.87|29.27|-0.04|-11.08|341.535|50.127|306.791|0.017|0.041|0.025|||
277|14/5/22 5.47|-35.68824174|40.2595007|44.33|20.28|13.93|11.86|-23.07|29.44|0.17|-10.91|341.841|49.524|307.46|0.015|0.043|0.026|||
278|14/5/22 5.47|-36.12393119|40.8511484|44.61|21.36|14.05|11.77|-23.13|29.51|0.07|-10.84|341.728|48.455|308.576|0.018|0.04|0.027|||
279|14/5/22 5.47|-36.55692836|41.45085035|44.47|21.01|13.92|11.58|-23.66|29.79|0.28|-10.56|341.133|47.947|307.788|0.02|0.042|0.03|||
280|14/5/22 5.48|-36.98585499|42.05696732|44.18|21.34|13.76|11.23|-23.69|29.61|-0.19|-10.75|340.547|48.577|307.732|0.02|0.041|0.028|||
281|14/5/22 5.48|-37.41162314|42.67105215|45.04|21.46|13.62|11.43|-23.48|29.45|-0.16|-10.90|341.006|49.405|306.768|0.015|0.041|0.025|||
282|14/5/22 5.48|-37.83309159|43.29172529|44.25|20.84|13.39|11.8|-23.89|29.82|0.37|-10.53|340.16|50.754|305.39|0.017|0.041|0.026|||
283|14/5/22 5.48|-38.25171446|43.92142443|44.31|21.88|12.91|11.8|-24.33|29.96|0.14|-10.39|341.085|49.871|304.476|0.014|0.041|0.027|||
284|14/5/22 5.48|-38.66469716|44.55619092|44.47|20.89|12.89|11.81|-24.48|30.08|0.12|-10.27|340.994|50.448|304.311|0.018|0.041|0.026|||
285|14/5/22 5.48|-39.07397507|45.19921533|44.49|20.69|12.98|11.76|-24.88|30.43|0.35|-9.93|339.515|50.704|303.24|0.016|0.041|0.027|||
286|14/5/22 5.49|-39.47923977|45.8503249|44.41|20.74|12.88|11.53|-25.23|30.58|0.16|-9.77|339.911|50.233|302.392|0.019|0.041|0.03|||
287|14/5/22 5.49|-39.88146921|46.51145924|44.57|23.3|12.84|11.52|-25.47|30.76|0.18|-9.59|339.062|48.416|303.135|0.021|0.04|0.025|||
288|14/5/22 5.49|-40.27912165|47.18044233|44.4|20.56|12.83|11.41|-25.34|30.61|-0.15|-9.75|338.212|49.014|302.6|0.015|0.043|0.027|||
289|14/5/22 5.49|-40.67140854|47.85618873|45.2|20.61|12.86|11.42|-25.27|30.57|-0.04|-9.79|338.4|49.019|302.56|0.014|0.041|0.028|||
290|14/5/22 5.49|-41.05941067|48.5408343|44.29|22.33|12.6|11.6|-25.2|30.47|-0.10|-9.89|338.453|48.756|301.822|0.014|0.042|0.024|||
291|14/5/22 5.50|-41.44248402|49.23356111|45.02|21.09|12.54|11.57|-25.6|30.76|0.30|-9.59|339.641|47.934|302.486|0.015|0.042|0.026|||
292|14/5/22 5.50|-41.82127697|49.93588242|44.25|20.57|12.58|11.65|-26.07|31.20|0.44|-9.15|339.615|48.125|301.2|0.019|0.042|0.027|||
293|14/5/22 5.50|-42.19525953|50.64718759|44.4|20.39|12.46|11.5|-26.61|31.55|0.35|-8.80|340.48|49.52|300.439|0.015|0.041|0.025|||
294|14/5/22 5.50|-42.56458963|51.3681488|44.24|20.37|12.3|11.5|-26.96|31.79|0.23|-8.57|340.082|50.254|299.96|0.016|0.042|0.027|||
295|14/5/22 5.50|-42.92893127|52.09849525|44.47|20.16|12.32|11.4|-27.52|32.23|0.45|-8.12|339.689|50.827|298.496|0.014|0.041|0.025|||
296|14/5/22 5.50|-43.28729|52.83653815|44.43|20.57|12.21|11.28|-27.74|32.34|0.10|-8.02|339.487|49.269|299.356|0.019|0.042|0.027|||
297|14/5/22 5.51|-43.64001138|53.58326177|44.43|22.28|12.07|11.36|-28.11|32.63|0.29|-7.72|339.354|49.912|299.227|0.019|0.041|0.026|||
298|14/5/22 5.51|-43.98749273|54.33986744|44.73|21.99|12.21|11.25|-28.55|33.03|0.39|-7.33|339.427|49.727|299.176|0.015|0.042|0.026|||
299|14/5/22 5.51|-44.32935582|55.10592277|44.56|20.8|12.15|11.03|-28.39|32.79|-0.24|-7.56|338.389|50.025|298.324|0.019|0.041|0.027|||
300|14/5/22 5.51|-44.66476771|55.87986487|44.24|20.18|12.03|11|-28.69|33.00|0.21|-7.36|338.6|51.515|296.672|0.018|0.041|0.024|||
301|14/5/22 5.51|-44.99474006|56.66437891|44.49|22.83|11.88|11.39|-29.24|33.55|0.56|-6.80|337.634|52.307|295.035|0.019|0.041|0.028|||
302|14/5/22 5.51|-45.31754794|57.45566421|44.52|21.66|11.97|11.48|-29.45|33.80|0.25|-6.56|337.496|51.637|294.162|0.02|0.042|0.026|||
303|14/5/22 5.52|-45.6347045|58.25773825|44.49|20.64|12.12|10.99|-29.89|34.07|0.28|-6.28|337.706|50.796|294.532|0.02|0.04|0.027|||
304|14/5/22 5.52|-45.94593052|59.07038255|44.43|20.57|12.22|10.74|-30.45|34.52|0.45|-5.83|337.46|52.212|294.659|0.02|0.041|0.025|||
305|14/5/22 5.52|-46.25092055|59.89326352|44.63|21.5|12.07|10.76|-30.91|34.88|0.36|-5.47|336.841|51.193|294.566|0.02|0.04|0.026|||
306|14/5/22 5.52|-46.54910594|60.72524137|44.81|20.99|11.8|10.95|-31.32|35.21|0.33|-5.14|337.652|52.059|293.998|0.017|0.042|0.026|||
307|14/5/22 5.52|-46.84055378|61.56687106|44.15|20.34|11.77|11.01|-31.39|35.29|0.07|-5.07|337.675|53.072|292.585|0.016|0.041|0.027|||
308|14/5/22 5.52|-47.12458364|62.41650264|44.5|20.73|11.82|10.77|-31.52|35.34|0.06|-5.01|337.136|53.288|293.117|0.019|0.041|0.024|||
309|14/5/22 5.53|-47.40093787|63.27356616|44.56|21.33|11.97|10.7|-31.65|35.49|0.15|-4.87|337.064|52.477|293.174|0.015|0.042|0.029|||
310|14/5/22 5.53|-47.67024562|64.14030823|44.24|21.08|11.93|10.61|-31.93|35.70|0.21|-4.66|336.262|51.199|293.654|0.019|0.043|0.024|||
311|14/5/22 5.53|-47.93235091|65.01665063|45|20.8|12.02|10.72|-32.09|35.90|0.21|-4.45|337.534|51.312|294.482|0.02|0.041|0.024|||
312|14/5/22 5.53|-48.18755393|65.90411417|44.86|19.99|12.08|10.5|-32.49|36.22|0.31|-4.14|338.274|51.094|294.983|0.015|0.041|0.026|||
313|14/5/22 5.53|-48.43524376|66.80110159|44.45|20.5|12.21|10.47|-32.84|36.57|0.35|-3.79|339.384|52.727|293.91|0.016|0.042|0.027|||
314|14/5/22 5.54|-48.67524712|67.70741874|45.05|19.71|12.28|10.17|-32.77|36.44|-0.12|-3.91|338.921|53.049|293.037|0.015|0.04|0.028|||
315|14/5/22 5.54|-48.90716879|68.62193943|44.41|20.77|12.4|9.99|-33.35|36.96|0.51|-3.40|339.22|52.542|294.03|0.014|0.042|0.027|||
316|14/5/22 5.54|-49.13105682|69.54519803|44.31|20.91|12.42|9.94|-33.87|37.42|0.46|-2.94|338.342|51.95|295.438|0.02|0.041|0.027|||
317|14/5/22 5.54|-49.34662467|70.47635707|45.02|21.99|12.45|9.81|-34.43|37.90|0.48|-2.45|339.241|52.229|295.73|0.021|0.041|0.026|||
318|14/5/22 5.54|-49.55359878|71.41447659|44.43|20.04|12.5|9.63|-34.83|38.24|0.33|-2.12|338.832|53.041|295.141|0.016|0.041|0.026|||
319|14/5/22 5.54|-49.75226139|72.36114773|44.47|21.39|12.57|9.53|-34.97|38.36|0.13|-1.99|337.299|54.158|294.117|0.021|0.041|0.025|||
320|14/5/22 5.55|-49.94277557|73.31771198|44.43|21.09|12.63|9.42|-35.1|38.47|0.11|-1.88|336.573|54.54|293.462|0.017|0.042|0.026|||
321|14/5/22 5.55|-50.12446714|74.28126651|44.65|20.71|12.58|9.59|-35.28|38.66|0.19|-1.69|336.758|53.182|294.488|0.014|0.041|0.026|||
322|14/5/22 5.55|-50.29759996|75.25364637|44.52|19.7|12.52|9.71|-35.6|38.97|0.30|-1.39|336.06|52.187|295.842|0.02|0.041|0.025|||
323|14/5/22 5.55|-50.46167639|76.23249461|44.38|20.2|12.68|9.43|-36.25|39.54|0.58|-0.81|336.332|53.323|295.532|0.014|0.041|0.026|||
324|14/5/22 5.55|-50.61669007|77.21807008|44.47|20.76|12.81|9.42|-37|40.27|0.73|-0.08|336.358|52.896|295.176|0.018|0.042|0.03|||
325|14/5/22 5.55|-50.76228594|78.20828742|44.43|20.58|12.84|9.11|-37.67|40.83|0.56|0.47|337.264|53.125|295.45|0.015|0.042|0.027|||
326|14/5/22 5.56|-50.8987419|79.20526461|44.65|21.43|12.94|9.11|-37.61|40.80|-0.02|0.45|337.653|54.486|295.322|0.02|0.04|0.026|||
327|14/5/22 5.56|-51.02615304|80.21037516|44.5|20.47|13|9.1|-37.95|41.13|0.33|0.78|338.204|55.101|295.904|0.016|0.042|0.029|||
328|14/5/22 5.56|-51.14389064|81.21906351|44.43|20.72|13.15|9.12|-38.18|41.40|0.26|1.04|337.557|54.921|296.05|0.017|0.043|0.027|||
329|14/5/22 5.56|-51.25239355|82.23554322|44.56|18.55|13.55|8.9|-38.75|42.00|0.61|1.65|337.985|54.492|294.732|0.014|0.04|0.026|||
330|14/5/22 5.56|-51.35118915|83.25601286|44.47|20.12|13.91|8.88|-39.07|42.41|0.41|2.06|338.395|54.535|294.981|0.02|0.041|0.026|||
331|14/5/22 5.56|-51.44032138|84.28122995|44.57|20.62|14.13|8.97|-39.18|42.61|0.19|2.25|337.364|55.616|295.877|0.017|0.042|0.027|||
332|14/5/22 5.57|-51.51956687|85.30878285|44.17|20.64|14.17|9.14|-39.72|43.15|0.55|2.80|337.429|54.078|296.461|0.02|0.041|0.026|||
333|14/5/22 5.57|-51.58913639|86.3418421|44.54|20.8|14.24|9.17|-40.08|43.51|0.36|3.16|336.776|53.391|297.313|0.02|0.04|0.028|||
334|14/5/22 5.57|-51.64864605|87.37482333|44.56|20.76|14.43|9.22|-40.49|43.96|0.45|3.61|336.157|52.075|297.908|0.013|0.042|0.028|||
335|14/5/22 5.57|-51.69826503|88.41017151|44.4|20.67|14.18|9.06|-40.74|44.08|0.12|3.72|335.649|50.463|299.027|0.017|0.041|0.029|||
336|14/5/22 5.57|-51.73798731|89.44822152|44.54|19.27|14.59|8.87|-41.26|44.65|0.58|4.30|335.59|49.409|298.533|0.017|0.041|0.026|||
337|14/5/22 5.58|-51.76779418|90.48973637|44.49|20.88|14.86|8.72|-41.35|44.80|0.14|4.44|335.529|47.542|299.418|0.019|0.042|0.028|||
338|14/5/22 5.58|-51.78755015|91.53002816|44.22|20.44|15.08|8.57|-41.68|45.15|0.35|4.79|336.666|47.868|299.76|0.015|0.043|0.025|||
339|14/5/22 5.58|-51.797328|92.57277152|44.54|20.83|15.26|8.69|-41.79|45.33|0.18|4.97|337.742|47.803|299.946|0.018|0.041|0.026|||
340|14/5/22 5.58|-51.79707609|93.61621117|44.24|20.87|15.51|8.66|-41.87|45.48|0.15|5.13|338.082|48.82|298.902|0.014|0.04|0.026|||
341|14/5/22 5.58|-51.78680496|94.65824034|45.11|20.65|15.52|8.55|-42.37|45.93|0.44|5.57|338.488|50.568|299.126|0.013|0.042|0.025|||
342|14/5/22 5.58|-51.76655434|95.69845562|45.05|22.49|16.04|8.41|-42.9|46.57|0.64|6.21|338.192|49.8|299.482|0.019|0.041|0.029|||
343|14/5/22 5.59|-51.7362947|96.73864714|45.02|20.87|16.39|8.32|-43.33|47.07|0.50|6.71|338.21|50.477|299.268|0.021|0.041|0.026|||
344|14/5/22 5.59|-51.69609681|97.77648007|44.54|20.39|16.69|8.08|-43.21|47.02|-0.05|6.67|336.321|49.181|299.077|0.02|0.041|0.026|||
345|14/5/22 5.59|-51.64584979|98.81453376|44.63|19.93|16.95|8.09|-43.94|47.79|0.77|7.43|335.462|47.611|299.958|0.019|0.042|0.027|||
346|14/5/22 5.59|-51.58585936|99.84702048|44.65|20.51|17.06|8.24|-44.7|48.55|0.76|8.19|334.855|48.985|299.169|0.015|0.041|0.027|||
347|14/5/22 5.59|-51.51603412|100.8765748|44.49|21.09|17.22|8.46|-45.2|49.10|0.55|8.75|335.571|48.522|299.644|0.02|0.04|0.025|||
348|14/5/22 5.59|-51.43649964|101.9018427|44.45|19.78|17.33|8.59|-45.57|49.50|0.40|9.15|336.424|48.63|300.492|0.014|0.041|0.026|||
